character,x,y,meaning,pinying
口,-1.080243831,-8.78469566,mouth,kou3
古,-13.58263665,18.35297554,ancient,gu3
句,27.71299368,-11.04418113,sentence,ju4
另,48.78097438,10.37039142,other,ling4
叨,78.74183318,51.53758586,to receive the benefit of,tao1
只,33.97877799,6.563941882,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc",zhi1
叫,79.06059314,51.99560773,variant of 叫[jiao4],jiao4
召,65.94812683,1.501052592,to call together,zhao4
叭,36.72382504,75.86797016,denote a sound or sharp noise (gunfire etc),ba1
叮,41.5937346,68.90154732,"to sting or bite (of mosquito, bee etc)",ding1
可,48.76916891,-3.556853593,see 可汗[ke4 han2],ke4
台,-35.68912068,-26.50177717,typhoon,tai2
史,-36.68490015,19.4451272,history,shi3
右,-14.05479231,19.08414318,right (-hand),you4
叶,31.54726286,71.6708086,leaf,ye4
号,28.59101556,2.11326096,ordinal number,hao4
司,76.14904019,31.19216591,to take charge of,si1
叹,34.91998431,76.71445828,variant of 嘆|叹[tan4],tan4
吁,25.70062566,49.85617666,to implore,yu4
吃,37.46551345,71.97942594,variant of 吃[chi1],chi1
各,6.934091723,-62.59560371,each,ge4
合,-36.25015021,-26.48668704,variant of 合[he2],he2
吉,-44.55544409,-3.399337984,lucky,ji2
吊,55.16188496,8.529192232,a string of 100 cash (arch.),diao4
同,72.88140788,39.15403657,see 衚衕|胡同[hu2 tong4],tong4
名,-34.20326218,-26.24987735,name,ming2
后,-50.24533161,-30.35991582,back,hou4
吐,24.78915579,51.52963209,to vomit,tu4
向,72.71676745,8.422639515,variant of 向[xiang4],xiang4
吓,40.97583623,72.67828788,to frighten,xia4
吕,67.85113103,1.189599666,"pitchpipe, pitch standard, one of the twelve semitones in the traditional tone system",lu:3
吗,31.4306531,89.97443841,"(question particle for ""yes-no"" questions)",ma5
君,56.90739367,33.23870364,monarch,jun1
吞,60.19318945,0.301877733,to swallow,tun1
吟,26.27828514,80.61914259,old variant of 吟[yin2],yin2
否,63.78982433,1.16195348,clogged,pi3
吧,48.88382729,63.56123961,(modal particle indicating suggestion or surmise),ba5
吨,30.48396635,72.51933037,ton (loanword),dun1
吩,38.19533641,68.77516073,leave instructions,fen1
含,-98.21049547,-16.64843709,to keep,han2
听,36.90246825,74.80799452,"(literary pronunciation, still advocated in Taiwan) to rule",ting4
启,60.22812792,26.07482193,to open,qi3
吴,54.71035569,28.35162841,surname Wu,Wu2
吵,31.5748037,72.77204595,to quarrel,chao3
吸,32.95646232,66.76417806,to breathe,xi1
吹,30.25377486,75.84305678,to blow,chui1
吻,40.58996298,79.69887895,variant of 吻[wen3],wen3
吼,41.49140821,86.64514921,to roar,hou3
吾,58.23134445,33.61945965,I,wu2
呀,35.78247802,75.16876136,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)",ya5
呆,53.89742781,8.821039371,foolish,dai1
呈,28.68190031,17.57267834,to present to a superior,cheng2
告,-20.55861408,0.876961496,to say,gao4
员,47.33761857,10.40861701,person,yuan2
呜,-3.370405229,85.95763745,(onom.) for humming or whimpering,wu1
呢,44.6639914,55.1865072,woolen material,ni2
周,64.74443621,35.4307313,week,zhou1
味,28.91817801,70.13363493,taste,wei4
呵,36.25917257,95.76618125,expel breath,he1
呼,32.18480044,73.12941843,variant of 呼[hu1],hu1
命,-24.38757495,33.59607176,life,ming4
咋,39.87039236,72.0882614,loud noise,zha4
和,81.56235116,8.813051188,old variant of 和[he2],he2
咐,38.00778332,91.38788859,to order,fu4
咕,34.87938375,71.28757449,"(onom.) for the sound of a bird, an empty stomach etc",gu1
咖,52.96504685,81.04216431,coffee,ka1
咨,-97.4704825,-16.50852903,to consult,zi1
咬,33.08420532,78.68722913,variant of 咬[yao3],yao3
咱,37.65850807,80.92208537,variant of 咱[zan2],zan2
咳,33.35980047,78.80829154,cough,ke2
咽,30.87311191,87.42311876,to swallow,yan4
哀,-37.75521125,0.020442723,sorrow,ai1
品,70.03890249,0.491279706,article,pin3
哄,37.26161739,77.04765458,tumult,hong4
哇,28.75522734,71.31491266,"replaces 啊[a5] when following the vowel ""u"" or ""ao""",wa5
哈,37.56752636,80.87204933,a Pekinese,ha3
响,41.97806787,79.64546208,echo,xiang3
哎,33.96387669,78.09155975,hey!,ai1
哑,52.79473841,79.74637965,dumb,ya3
哗,33.52791204,83.86397766,variant of 嘩|哗[hua2],hua2
哟,53.50167435,84.16551389,(sentence-final particle expressing exhortation),yo5
哥,45.06385919,-8.524509553,elder brother,ge1
哦,42.29934753,88.8970668,"sentence-final particle that conveys informality, warmth, friendliness or intimacy",o5
哨,29.06505383,86.90826553,a whistle,shao4
哩,31.4179704,99.27189467,(modal final particle similar to 呢[ne5] or 啦[la5]),li5
哪,53.27782663,81.10493964,"which? (interrogative, followed by classifier or numeral-classifier)",nei3
哭,49.92306485,7.642307792,to cry,ku1
哲,-92.72407062,-15.54463926,(used in given names),zhe2
哼,-7.154417544,74.38404926,to groan,heng1
唇,-56.00010189,29.59393036,variant of 唇[chun2],chun2
唉,32.23010808,76.66964357,alas,ai4
唐,-68.45483239,31.5879512,to exaggerate,tang2
唤,33.05555842,81.89299296,to call,huan4
售,-67.55796537,-24.18187779,to sell,shou4
唯,35.93671419,87.03562723,yes,wei3
唱,27.45723115,93.90467366,to sing,chang4
商,-66.93109758,7.299469959,commerce,shang1
啊,48.04202746,89.15289197,"modal particle ending sentence, showing affirmation, approval, or consent",a5
啡,41.35209727,86.14240219,(phonetic component),fei1
啤,-0.658128268,84.95975222,beer,pi2
啥,30.44173237,84.0059111,dialectal equivalent of 什麼|什么[shen2 me5],sha2
啦,37.8365614,90.57256996,"sentence-final particle, contraction of 了啊, indicating exclamation",la5
啪,36.95471604,89.76095513,(onom.) bang,pa1
啸,48.61699184,82.96542696,to hiss,xiao4
喀,22.6526527,88.07561204,(onom.) sound of coughing or vomiting,ka1
喂,27.50634747,93.83543148,to feed,wei4
喃,45.81612208,84.83501593,mumble in repetition,nan2
善,-94.15004158,6.316856156,good (virtuous),shan4
喇,55.38056745,85.70277724,(phonetic),la3
喉,51.11197458,87.75600182,throat,hou2
喊,43.5746302,89.0593401,to yell,han3
喘,48.49976067,77.02460928,to gasp,chuan3
喜,-68.71418283,55.87707276,to be fond of,xi3
喝,29.54114646,90.37430366,to shout loudly,he4
喧,-4.391774121,88.66814285,variant of 喧[xuan1],xuan1
喷,32.07221241,81.3375649,(of a smell) strong,pen4
喻,50.83961455,82.77028209,to describe sth as,yu4
嗓,31.84509057,93.30804709,throat,sang3
嗤,24.87995647,93.3258501,laugh at,chi1
嗦,46.98366151,83.69463395,suck,suo1
嗯,30.41900327,94.4695549,"interjection indicating approval, appreciation or agreement",en5
嘉,-83.14333882,52.45584669,excellent,jia1
嘛,7.642521274,50.40790354,modal particle indicating that sth is obvious,ma5
嘱,47.30943874,89.61543762,to enjoin,zhu3
嘲,55.16252746,85.44069128,"see 嘲哳, (onom.) twitter",zhao1
